0.0201544 	0.523316
0.0521559 	0.847774
0.0747669 	0.963796
0.107592 	1.14778
0.135778 	1.32728
0.148288 	1.39861
0.172345 	1.62724
0.201047 	1.87021
0.225482 	2.11862
0.251994 	2.37841
0.278407 	2.72401
0.308565 	3.09361
0.344599 	3.73295
0.372189 	4.23817
0.406537 	5.11651
0.434964 	5.74257
0.438162 	5.81973
0.471456 	6.73211
0.504074 	7.61659
0.531434 	8.65886
0.559579 	9.73525
0.564759 	10.0213
0.587444 	11.1401
0.614529 	12.7008
0.634323 	14.3192
0.650143 	15.509
0.676964 	17.6408
0.70627 	20.4096
0.733774 	23.8167
0.755952 	27.1078
0.759241 	27.5187
0.786542 	30.9302
0.84375 	41.5746
0.90625 	54.4864
0.96875 	54.0033
